ID,Nome,Descrizione,Colore,Categoria
17,Mango,"Il Mango è un colore caldo e dolce, che richiama le vibrazioni tropicali e il calore dei frutti esotici.<br><br>La sua tonalità solare e frizzante porta una sensazione di gioia e vitalità, perfetto per portare energia positiva in ogni ambiente.<br><br>Rappresenta la creatività e l’abbondanza, evocando il gusto dolce della vita e l’entusiasmo per nuove esperienze.",#FFB347,Caldi
18,Giallo Zafferano,"Un colore caldo e luminoso che incarna la luce del sole e l'energia della natura.<br><br>La sua tonalità vivace emana vitalità, creando un legame tra l'anima e l'universo.<br><br>Un colore che irradia gioia e forza interiore, evocando un senso di armonia profonda e un potente stimolo alla crescita spirituale.",#FFC72C,Caldi
19,Giallo Luminoso,"Il Giallo Luminoso è un colore vibrante che porta con sé l'energia del sole e la gioia di un nuovo inizio.<br>La sua brillantezza risveglia l'entusiasmo e stimola la creatività, creando un'atmosfera di ottimismo e speranza.<br>È il colore che illumina la mente e il cuore, infondendo energia positiva in ogni momento.",#FAD02E,Caldi
20,Giallo Zafferano Chiaro,"Il Giallo Zafferano Chiaro è un colore caldo e solare che richiama la brillantezza delle spezie preziose.<br>La sua tonalità dorata porta energia e vitalità, ideale per creare atmosfere luminose e piene di gioia.",#F4C430,Caldi
21,Giallo Girasole,"Il Giallo Girasole è un colore solare e gioioso, che evoca l'energia calda e luminosa del sole.<br>Con la sua brillantezza e vivacità, porta un tocco di allegria e positività, perfetto per creare ambienti stimolanti e pieni di vita.",#FFDA03,Caldi
22,Giallo Canarino,"Il Giallo Canarino è un colore brillante e solare che porta luce e calore in ogni spazio.<br>La sua tonalità allegra e vivace è simbolo di felicità e ottimismo, perfetto per stimolare l'energia positiva e la creatività in ogni momento della giornata.",#FFFF00,Caldi
23,Giallo Rame,"Il Giallo Rame è un colore caldo e luminoso che cattura l'energia solare, donando un senso di dinamismo e rinnovamento.<br><br>È una tonalità che unisce l'intensità del giallo alla ricchezza del rame, evocando una sensazione di abbondanza e vitalità.<br><br>Perfetto per chi cerca un colore che trasmetta energia e forza interiore, mantenendo al tempo stesso una raffinatezza naturale.",#FFCC00,Caldi
24,Giallo Sole,"Giallo Sole è pura luce, la vibrazione della gioia e dell’intelletto.<br><br>È il colore che illumina la coscienza e apre le porte della conoscenza.<br><br>Come il sole al culmine del giorno, risveglia l’anima con il calore dell’intuizione.<br><br>Nel Risuonatore Solare, è la melodia della saggezza e della fiducia.<br><br>Un battito dorato che dissolve le ombre e risveglia il potenziale interiore.",#F4A300,Caldi
25,Giallo Fermo,"Il Giallo Fermo è una tonalità solida e luminosa, che irradia energia e ottimismo.<br><br>Questo colore rappresenta la chiarezza mentale e la vitalità, portando una sensazione di calore e determinazione.",#F4A300,Caldi
26,Arancio Tramonto,"Arancio Tramonto è il respiro profondo della sera, il momento in cui il cielo si accende di fuoco e dolcezza.<br><br>È la vibrazione della gratitudine, del lasciar andare con serenità ciò che è stato, per accogliere il nuovo con fiducia.<br><br>Nel Risuonatore Solare, è il battito del cuore che rallenta e si allinea con il ritmo cosmico, danzando tra la luce e l’ombra con equilibrio perfetto.",#FF7F50,Caldi
27,Arancio Melone,"L'Arancio Melone è un colore caldo e solare che emana una vibrazione di energia e vitalità.<br><br>Con la sua tonalità frizzante e fresca, questo colore richiama l'idea di un nuovo inizio, pieno di opportunità e potenziale.<br><br>È il colore dell'estate e della gioia di vivere.",#FF7043,Caldi
28,Arancio Sole,"Arancio Sole irradia energia pura, come un'alba che risveglia il mondo.<br><br>Questo colore vibra con la frequenza della creatività e dell'entusiasmo, spingendo all'azione e alla gioia.<br><br>È la scintilla che accende il Risuonatore Solare, pulsando nel ritmo universale del cuore del tempo.<br><br>L'arancio è il ponte tra il fuoco e la terra, connettendo passione e stabilità.<br><br>Simbolo di trasformazione e crescita, illumina il cammino con luce dorata.",#FF5733,Caldi
29,Arancio Giallo,"L'Arancio Giallo è un colore caldo e brillante che fonde l'energia dell'arancio con la luminosità del giallo.<br><br>La sua tonalità allegra e solare porta una sensazione di vitalità e ottimismo, perfetto per spazi che vogliono trasmettere energia positiva.",#FFA500,Caldi
30,Arancio Peperoncino,"L'Arancio Peperoncino è un colore caldo e audace, che sprigiona energia e passione.<br><br>La sua tonalità brillante è perfetta per stimolare l'attività, creando atmosfere vivaci e dinamiche, capaci di risvegliare l'entusiasmo e la creatività.",#FF4500,Caldi
31,Arancio Ruggine,"L'Arancio Ruggine è un colore caldo e avvolgente che combina l'energia vibrante dell'arancio con la profondità della ruggine.<br><br>La sua tonalità accesa porta con sé una sensazione di passione e trasformazione, come l'autunno che muta la natura.<br><br>È il colore della creatività, dell'intuizione e della forza interiore.",#D2691E,Caldi
32,Arancio Ruggine,L'Arancio Ruggine è un colore caldo e terroso che unisce la forza del rosso con la dolcezza dell'arancio.<br><br>Questa tonalità evoca la bellezza dei tramonti autunnali e la passione radicata nella terra.,#D2691E,Caldi
33,Corallo,Il Corallo è un colore vibrante e caldo che unisce il rosso e l'arancio in una tonalità accogliente e dinamica.<br><br>La sua energia vivace e stimolante è perfetta per ambienti che desiderano esprimere passione e calore.,#FF7F50,Caldi
34,Rosso Corallo,"Rosso Corallo è il richiamo del mare profondo e della passione ardente. <br>È un colore che pulsa con la vibrazione della vita, unendo il fuoco e l’acqua in una danza perfetta. <br>Simboleggia la connessione tra emozione e azione, tra sogno e realtà. <br>Nel Risuonatore Solare, è il battito pulsante dell’ispirazione e della bellezza. <br>Un’onda di calore che risuona con l’amore universale, nutrendo il cuore del tempo.",#FF6347,Caldi
35,Rosso Pomodoro,"Il Rosso Pomodoro è un colore vivace e solare che incarna l'energia del fuoco e la passione della vita. <br>Con la sua tonalità brillante, evoca un senso di calore e dinamismo, perfetto per stimolare l'azione e la creatività in ogni situazione.",#FF6347,Caldi
36,Rame Rosso,"Il Rame Rosso è un colore caldo e avvolgente, che combina la forza del rame con una sfumatura di passione e vitalità. <br>Questo colore emana energia e calore, creando un'atmosfera di intimità e determinazione, perfetto per stimolare la creatività e l'azione.",#C97D63,Caldi
37,Rosso Ciliegia,"Il Rosso Ciliegia è un colore ricco e vibrante che incarna la passione e l'intensità della frutta matura. <br>La sua tonalità profonda e calda è ideale per creare atmosfere accoglienti e stimolanti, evocando una sensazione di calore e desiderio.",#DE3163,Caldi
38,Rosso Fuoco,"Rosso Fuoco è il battito incandescente del cuore cosmico. <br>È la scintilla dell’esistenza, il desiderio di esprimersi senza paura. <br>La sua vibrazione risveglia il coraggio, accende la volontà e infiamma le anime pronte a vivere pienamente. <br>Nel Risuonatore Solare, è l'impulso della creazione, il ritmo del divenire. <br>Un fuoco sacro che brucia ogni limite e illumina la via con passione ardente.",#FF4500,Caldi
39,Rosso Magenta,"Il Rosso Magenta è un colore intenso e vibrante, una fusione tra il rosso caldo e il viola profondo. <br>La sua energia forte e dinamica evoca passione e creatività, ideale per stimolare emozioni e connessioni forti.",#FF00FF,Caldi
40,Fucsia,"Il Fucsia è una tonalità vibrante e audace che rappresenta l'energia creativa e la passione. <br>Con la sua brillantezza, questo colore stimola la mente e il cuore, infondendo vitalità e originalità.",#FF00FF,Caldi
41,Rosso Granato,"Il Rosso Granato è un colore profondo e avvolgente, che trasmette forza, passione e determinazione. <br>La sua tonalità intensa e ricca evoca un senso di potenza interiore, come il fuoco che arde nel cuore. <br>È il colore della passione pura, della vitalità e della protezione, perfetto per chi cerca di affermare la propria presenza con eleganza e forza.",#9E2A2B,Caldi
42,Rosso Ruggine,"Il Rosso Ruggine è una tonalità calda e intensa che richiama il cuore della terra. <br>Il suo colore profondo evoca passione e forza, con un'energia che risuona con l'essenza primordiale dell'universo.",#B7410E,Caldi
43,Rosso Amaranto,"Un rosso intenso, ricco di passione e forza. Questo colore comunica un'energia primordiale che abbraccia la profondità delle emozioni umane, unendo l'ardore della terra e la potenza dell'amore. Il Rosso Amaranto è un invito a esplorare il cuore, il suo battito che si allinea con il ritmo dell'universo.",#9E1B32,Caldi
44,Rosso Rubino,"Rosso Rubino è il battito profondo della passione autentica, il colore dell’amore che si radica nella terra e si eleva verso il cielo. È la vibrazione dell’intensità, del desiderio che arde con nobiltà e determinazione. Nel Risuonatore Solare, rappresenta il sangue dell’universo, il flusso ininterrotto di energia vitale che nutre l’esistenza stessa, rendendola preziosa e immortale.",#9B111E,Caldi
45,Rosso Sangue,"Rosso Sangue è la pulsazione primordiale della vita, il ritmo sacro che scorre nelle vene dell’universo. È il colore della forza inarrestabile, della volontà indomabile che supera ogni ostacolo. Nel Risuonatore Solare, è il battito del cuore che risuona nell’infinito, il suono della creazione che si manifesta in ogni attimo, portando trasformazione e rinascita.",#8A0303,Caldi
46,Marrone Nocciola,"Il Marrone Nocciola è un colore caldo e naturale che evoca comfort e stabilità. Questa tonalità terrosa porta una sensazione di rifugio e connessione con la terra, perfetta per ambienti che promuovono il relax e la tranquillità.",#9E7B4F,Terrosi
47,Marrone Castagna,"Il Marrone Castagna è un colore caldo e accogliente, che richiama l'intensità e la profondità delle castagne mature. La sua tonalità avvolgente evoca la sensazione di un abbraccio caloroso, di stabilità e di radicamento. È il colore della terra che dona nutrimento, della calma che aiuta a ritrovare il proprio centro.",#A0522D,Terrosi
48,Marrone Rame,"Il Marrone Rame è un colore terroso che richiama la solidità e la stabilità della terra. Questo colore, caldo e ricco, emana una sensazione di radicamento e connessione con la natura. È perfetto per evocare un senso di sicurezza e protezione.",#8B5E3C,Terrosi
49,Marrone Terra,"Il Marrone Terra è un colore che incarna la forza e la stabilità della natura. Con il suo tono ricco e profondo, evoca l'energia della terra, che nutre e sostiene ogni forma di vita. È il colore della connessione con le radici, della solidità e dell'equilibrio, che porta un senso di sicurezza e tranquillità.",#8B4513,Terrosi
50,Marrone Legno,"Il Marrone Legno è un colore che richiama la calda bellezza del legno naturale. Con la sua tonalità profonda e terrena, evoca la sensazione di connessione con la natura e il suo ciclo eterno. È il colore della stabilità, della crescita e del radicamento, portando un senso di protezione e tranquillità.",#6B4226,Terrosi
51,Viola Caramello,"Il Viola Caramello è un colore caldo e avvolgente che unisce il viola con una punta di morbido marrone, creando una tonalità sofisticata e dolce. La sua energia è perfetta per ambienti che desiderano un'atmosfera rilassante e accogliente.",#D39BC6,Viola
52,Viola Orchidea,"Il Viola Orchidea è un colore elegante e sofisticato che evoca la bellezza esotica e misteriosa dei fiori. Con la sua tonalità intensa e ricca, porta una sensazione di lusso e raffinatezza, perfetto per ambienti che desiderano esprimere creatività e originalità.",#DA70D6,Viola
53,Viola Ametista,"Il Viola Ametista è un colore profondo e misterioso, che evoca la saggezza e la spiritualità. La sua tonalità intensa e ricca porta con sé una sensazione di calma meditativa, invitando alla riflessione interiore. È il colore perfetto per chi cerca un equilibrio tra il mondo materiale e quello spirituale, simboleggiando la trasformazione e la serenità.",#9966CC,Viola
54,Viola Melanzana,"Il Viola Melanzana è una tonalità profonda e misteriosa che porta con sé l'eleganza e la raffinatezza. Con il suo equilibrio tra il blu e il viola, questo colore è simbolo di saggezza, potere e trasformazione interiore, connettendo l'individuo con la sua energia spirituale.",#9B30FF,Viola
55,Viola Magenta,"Il Viola Magenta è un colore ricco e affascinante, che mescola il mistero del viola con l'intensità del magenta. Questo colore evoca la profondità dell'anima, stimolando la creatività, la spiritualità e la connessione con l'universo. È una tonalità che risveglia l'energia interiore e l'intuizione.",#8A2BE2,Viola
56,Viola Sfumato,"Il Viola Sfumato è una tonalità ricca e profonda, che evoca mistero e introspezione. Con la sua sfumatura scura, il colore incarna l'equilibrio tra il mondo materiale e quello spirituale.",#6A4C93,Viola
57,Viola Profondo,"Il Viola Profondo è un colore che evoca l'intensità e la profondità dell'anima. Con il suo tono ricco e misterioso, questo colore connette chi lo osserva alla saggezza universale, stimolando la riflessione interiore e l'intuizione. È una tonalità che porta serenità e comprensione.",#800080,Viola
58,Viola Cardinale,"Il Viola Cardinale è un colore intenso e avvolgente, che richiama il mistero e la passione. La sua profondità e ricchezza evocano una sensazione di potenza e determinazione, simboleggiando la forza interiore. È il colore che stimola l'intuizione e la creatività, invitando alla crescita personale e alla realizzazione dei sogni.",#800020,Viola
59,Indaco,"L'Indaco è un colore che risveglia il senso di mistero e introspezione. Profondo e affascinante, è spesso associato alla meditazione e alla spiritualità, stimolando la crescita interiore e l'accesso alla saggezza universale. Il suo bagliore evoca l'energia cosmica.",#4B0082,Viola
60,Azzurro Neve,"L'Azzurro Neve è un colore cristallino e delicato, che ricorda la purezza della neve appena caduta sotto il cielo sereno. La sua freschezza evoca un senso di tranquillità, come una pausa di pace nell'inverno. È un colore che purifica e rinnova, portando una leggerezza che accarezza l'anima e invita alla riflessione interiore.",#E0FFFF,Freddi
61,Azzurro Palido,L'Azzurro Palido è un colore fresco e delicato che richiama i cieli sereni e la pace interiore. La sua tonalità chiara e calma è perfetta per ambienti rilassanti e per stimolare la chiarezza mentale.,#B0E0E6,Freddi
62,Azzurro Marino,"L'Azzurro Marino è un colore che richiama la serenità dell'oceano, con le sue acque calme e misteriose. Questa tonalità di blu chiaro porta con sé freschezza e tranquillità, evocando una sensazione di pace e apertura. È ideale per chi cerca un'armonia che connette il corpo e la mente alla vastità dell'infinito.",#5DADE2,Freddi
63,Turchese Polvere,"Il Turchese Polvere è un colore fresco e delicato che mescola la serenità del blu con la vivacità del verde.<br>Questo colore evoca la calma delle acque limpide e cristalline, perfetto per ambienti che invitano al relax e alla riflessione.",#40E0D0,Freddi
64,Turchese Acquatico,"Il Turchese Acquatico è un colore fresco e vivace che richiama le acque cristalline dei mari tropicali.<br>Questo colore emana tranquillità e serenità, favorendo un senso di equilibrio e armonia.<br>È perfetto per portare calma e chiarezza mentale.",#30D5C8,Freddi
65,Turchese Brillante,"Il Turchese Brillante è un colore che evoca le acque cristalline dei tropici, vibrante e luminoso.<br>Con la sua tonalità fresca e vivace, trasmette energia positiva e vitalità.<br>È un colore che stimola la creatività, l'intuizione e la connessione con la bellezza naturale del mondo.",#00CED1,Freddi
66,Turchese Cristallo,"Il Turchese Cristallo è un colore luminoso e rinfrescante che richiama l'acqua cristallina e pura.<br>La sua tonalità brillante porta una sensazione di leggerezza e chiarezza, ideale per stimolare la creatività e la tranquillità.",#00B5B5,Freddi
67,Blu Menta,"Il Blu Menta è un colore delicato e rinfrescante che porta una sensazione di freschezza e leggerezza.<br>Con la sua tonalità morbida e delicata, evoca tranquillità e rilassamento,<br>ed è perfetto per creare ambienti sereni e stimolare la mente.",#AAF0D1,Freddi
68,Blu Pastello,"Il Blu Pastello è un colore delicato e sereno che evoca la calma di un cielo sereno.<br>La sua tonalità morbida e chiara porta una sensazione di pace e serenità,<br>ideale per ambienti tranquilli e meditativi.",#AEC6CF,Freddi
69,Blu Iceberg,"Il Blu Iceberg è un colore fresco e cristallino che richiama la serenità e la purezza del ghiaccio.<br>La sua tonalità delicata e calda porta una sensazione di tranquillità,<br>perfetta per ambienti rilassanti e meditativi.",#A3C1DA,Freddi
70,Giallo Azzurro,"Il Giallo Azzurro è una tonalità delicata che unisce la freschezza dell'azzurro con l'energia del giallo.<br>Questo colore stimola la creatività e la serenità,<br>portando luminosità e tranquillità nell'ambiente.",#A2A2D0,Freddi
71,Blu Serafico,"Il Blu Serafico è un colore che rispecchia la dolcezza e la tranquillità di un cielo sereno.<br>La sua tonalità delicata porta una sensazione di pace interiore e di leggera spiritualità.<br>È un colore che invita alla riflessione profonda, creando uno spazio di calma e armonia che aiuta a ritrovare equilibrio nell'anima.",#87CEEB,Freddi
72,Blu Atlantico,"Il Blu Atlantico porta con sé la freschezza e l'immensità dell'oceano, simboleggiando la serenità e l'equilibrio.<br>La sua tonalità vivace è come una brezza marina che rinfresca la mente e solleva lo spirito,<br>invita alla riflessione profonda e al contatto con l'infinito.",#33A1FF,Freddi
73,Blu Lavanda,"Il Blu Lavanda è un colore sereno e rilassante che unisce il blu profondo con il delicato tocco del lilla.<br>Questo colore è associato alla calma e alla spiritualità, evocando sensazioni di pace e tranquillità.<br>È ideale per promuovere un ambiente di rilassamento e meditazione.",#6A5ACD,Freddi
74,Blu Oltremare,"Il Blu Oltremare è un colore ricco e avvolgente, che richiama la profondità e l'intensità degli oceani.<br>Con la sua tonalità vibrante, porta una sensazione di mistero e fascinazione, evocando l'infinito.<br>È un colore che stimola la riflessione sul viaggio interiore, l'esplorazione dei propri orizzonti emotivi e spirituali.",#4169E1,Freddi
75,Blu Notte,"Un colore che richiama la quiete e il mistero della notte.<br>Blu Notte è il rifugio della mente, un colore che avvolge in un abbraccio di tranquillità e introspezione.<br>È il colore dell'infinito, che collega il presente con il vasto cielo e le stelle, simbolo di sogni e infinite possibilità.",#4B9CD3,Freddi
76,Blu Cielo,"Il Blu Cielo è un colore che evoca la vastità e la serenità del cielo aperto.<br>La sua tonalità fresca e luminosa porta una sensazione di libertà, come una brezza leggera che accarezza l'anima.<br>Questo colore invita alla calma e alla riflessione, connettendo l'individuo alla vastità dell'universo e alla pace interiore.",#1F75FE,Freddi
77,Blu Elettrico,"Il Blu Elettrico è un colore audace e dinamico che risplende con un'intensità unica.<br>Evoca l'energia del futuro e la potenza dell'innovazione, portando una sensazione di movimento e trasformazione.<br>È il colore perfetto per chi desidera esplorare nuove frontiere e sfidare i propri limiti, connettendosi all'energia dell'universo.",#007FFF,Freddi
78,Ciano Elettrico,"Il Ciano Elettrico è un colore vibrante e dinamico che irradia energia e innovazione.<br>Con la sua brillantezza intensa, evoca sensazioni di modernità e potere tecnologico,<br>ed è perfetto per rappresentare l'energia creativa e la connessione con il mondo digitale.",#00FFFF,Freddi
79,Blu Acciaio,"Il Blu Acciaio è un colore profondo e potente, che rispecchia la forza e la solidità del metallo stesso.<br>Con la sua tonalità grigia e fredda, evoca determinazione e resilienza.<br>È un colore che incarna la stabilità e la concentrazione, perfetto per chi cerca chiarezza mentale e una connessione forte con il presente.",#4682B4,Freddi
80,Blu Cobalto,"Il Blu Cobalto è un colore profondo e avvolgente, che evoca la ricchezza delle gemme rare.<br>Con la sua tonalità intensa, emana una forza tranquilla che risveglia una connessione profonda con il cosmo.<br>Questo blu elegante e sofisticato stimola la riflessione e la ricerca interiore, portando con sé una sensazione di stabilità e serenità.",#0047AB,Freddi
81,Blu Petrolio,"Il Blu Petrolio è un colore profondo e avvolgente che evoca la quiete misteriosa delle profondità marine.<br>La sua tonalità intensa e ricca di sfumature dona un senso di forza e determinazione.<br>È un colore che invita alla riflessione e al contatto con le proprie emozioni più sottili, in perfetta armonia con l'universo.",#0E4D92,Freddi
82,Blu Capri,"Il Blu Capri è un colore profondo e ricco che evoca le acque cristalline del mare di Capri. La sua tonalità intensa e avvolgente crea un'atmosfera rilassante e raffinata, ideale per ambienti eleganti e tranquilli.",#005F73,Freddi
83,Verde Menta,"Il Verde Menta è un colore fresco e leggero che evoca la tranquillità e la freschezza delle piante aromatiche. Con la sua delicatezza, questo verde apporta serenità e raffinatezza, creando un'atmosfera di calma e apertura mentale.",#98FF98,Verdi
84,Verde Primavera,"Il Verde Primavera è un colore fresco e delicato che evoca la rinascita e la freschezza dei primi giorni di primavera. Con la sua luminosità leggera, questo verde porta con sé la promessa di nuovi inizi e la serenità di un mondo in fiore.",#98FB98,Verdi
85,Verde Fieno,"Il Verde Fieno è una tonalità morbida e naturale che evoca la tranquillità dei prati estivi. Il suo colore delicato porta una sensazione di freschezza e leggerezza, perfetta per creare ambienti sereni e rilassanti.",#C2B280,Verdi
86,Verde Smeraldo,"Il Verde Smeraldo è un colore ricco e lussuoso, che evoca la bellezza dei tesori nascosti nel cuore della terra. Con la sua tonalità intensa e vibrante, il Verde Smeraldo rappresenta abbondanza, speranza e connessione con la natura, irradiando energia positiva e serenità.",#50C878,Verdi
87,Verde Acido,"Il Verde Acido è una tonalità energica e stimolante che porta con sé una sensazione di vitalità e dinamismo. Con la sua brillantezza, questo verde risveglia l'energia vitale e stimola la creatività, infondendo un senso di rinnovamento e di connessione con le forze naturali.",#00FF7F,Verdi
88,Verde Lime Puro,"Il Verde Lime Puro è un colore brillante e frizzante che cattura l'energia della natura. La sua tonalità intensa e fresca porta una sensazione di vitalità e ottimismo, perfetto per aggiungere un tocco di freschezza e dinamicità agli spazi.",#32CD32,Verdi
89,Lime Fresco,"Il Lime Fresco è un colore vivace e stimolante che rappresenta freschezza e vitalità. Con la sua tonalità brillante, questo colore è perfetto per evocare energia, rinascita e un senso di rinnovamento. È il colore della crescita e dell'inizio di nuove opportunità.",#00FF00,Verdi
90,Verde Prato,"Il Verde Prato è un colore fresco e naturale che richiama il verde dei prati primaverili. La sua tonalità luminosa porta una sensazione di freschezza e rinnovamento, perfetto per creare spazi vivaci e rigeneranti.",#7CFC00,Verdi
91,Verde Muschio,"Il Verde Muschio è un colore terroso e profondo, che richiama l'autenticità e la calma delle foreste lussureggianti. Con il suo tono ricco e avvolgente, il Verde Muschio infonde una sensazione di stabilità, radicamento e connessione alla terra.",#8A9A5B,Verdi
92,Verde Acqua,"Il Verde Acqua è una tonalità fresca e calma che richiama le acque limpide e cristalline. Con il suo vibrante colore, il Verde Acqua infonde un senso di tranquillità e pace, evocando l'armonia tra la terra e l'acqua, creando una connessione profonda con l'essenza dell'acqua.",#20B2AA,Verdi
93,Verde Felce,"Il Verde Felce è un colore che porta con sé la freschezza e la vitalità delle piante selvatiche. Con la sua tonalità rilassante e naturale, evoca il senso di crescita e rigenerazione, connettendo l'anima alla serenità e alla pace della natura.",#4F7942,Verdi
94,Verde Smeraldo Scuro,"Il Verde Smeraldo Scuro è un colore ricco e profondo che richiama la bellezza e l'eleganza delle gemme. La sua tonalità avvolgente evoca forza e serenità, creando un'atmosfera di equilibrio e connessione con la natura.",#2E8B57,Verdi
95,Verde Foresta,"Il Verde Foresta evoca la profondità e la misteriosità delle foreste antiche, con la sua tonalità intensa che richiama la vita e la forza della natura. È un colore che infonde calma, stabilità e crescita, connettendo l'essenza dell'essere al ritmo della terra e al respiro della natura.",#228B22,Verdi
96,Verde Giada,Il Verde Giada è una tonalità vibrante che richiama la freschezza e la serenità della natura. La sua energia pulita e armoniosa porta un senso di equilibrio e connessione profonda con l'universo.,#00A86B,Verdi
97,Verde Teal,"Il Verde Teal è una tonalità fresca e profonda che unisce l'intensità del blu e la tranquillità del verde. Questo colore evoca un senso di equilibrio, serenità e raffinatezza, richiamando l'idea di un paesaggio naturale e incontaminato.",#008080,Verdi
98,Verde Muschio Scuro,"Il Verde Muschio Scuro è una tonalità ricca e avvolgente, che ricorda la profondità delle foreste e la serenità della natura incontaminata. La sua energia è calmante e radicante, perfetta per una connessione profonda con la terra.",#4B5320,Verdi
99,Verde Bottiglia,"Il Verde Bottiglia è una tonalità profonda e sofisticata che richiama la natura selvaggia e misteriosa. Con il suo tono scuro e intenso, questo verde emana una sensazione di eleganza e serenità, connettendo l'essenza dell'essere a un mondo di segreti e pace interiore.",#006A4E,Verdi
